model_status,window_start,zone_id,zone_name,basis,source,status,p_detect,level,wind_from_deg,wind_from_sector,move_to_deg,move_to_sector,wind_speed,type_top,type_probs,direction_status,aligned_candidates,direction_note
예비 실험·미보정,2026-09-20 09:00:00,U01,운양동 북측,forecast_csv,,예비 추정,0.404,낮음,90.0,동,270.0,서,2.2,축산계 추정,"{""기타/미확인"": 0.281, ""축산계 추정"": 0.588, ""하수계 추정"": 0.131}",정렬,"고양 하수처리시설 주변(하수계,0.74); 고양 구산동 축산지역(축산계,0.53)",동쪽에서 유입 추정
예비 실험·미보정,2026-09-20 09:00:00,U02,운양동 중앙,forecast_csv,,예비 추정,0.311,낮음,90.0,동,270.0,서,2.2,축산계 추정,"{""기타/미확인"": 0.314, ""축산계 추정"": 0.596, ""하수계 추정"": 0.09}",정렬,"고양 하수처리시설 주변(하수계,0.79)",동쪽에서 유입 추정
예비 실험·미보정,2026-09-20 09:00:00,U03,운양동 동측,forecast_csv,,예비 추정,0.466,낮음,90.0,동,270.0,서,2.2,축산계 추정,"{""기타/미확인"": 0.307, ""축산계 추정"": 0.578, ""하수계 추정"": 0.115}",정렬,"고양 하수처리시설 주변(하수계,0.73)",동쪽에서 유입 추정
예비 실험·미보정,2026-09-20 12:00:00,U01,운양동 북측,forecast_csv,,예비 추정,0.152,낮음,112.5,동남동,292.5,서북서,3.4,축산계 추정,"{""기타/미확인"": 0.313, ""축산계 추정"": 0.46, ""하수계 추정"": 0.228}",정렬,"고양 하수처리시설 주변(하수계,0.99); 김포 하수처리계통(걸포동)(하수계,0.56)",동남동쪽에서 유입 추정
예비 실험·미보정,2026-09-20 12:00:00,U02,운양동 중앙,forecast_csv,,예비 추정,0.106,낮음,112.5,동남동,292.5,서북서,3.4,축산계 추정,"{""기타/미확인"": 0.375, ""축산계 추정"": 0.449, ""하수계 추정"": 0.176}",정렬,"고양 하수처리시설 주변(하수계,0.96); 김포 하수처리계통(걸포동)(하수계,0.57)",동남동쪽에서 유입 추정
예비 실험·미보정,2026-09-20 12:00:00,U03,운양동 동측,forecast_csv,,예비 추정,0.187,낮음,112.5,동남동,292.5,서북서,3.4,축산계 추정,"{""기타/미확인"": 0.344, ""축산계 추정"": 0.454, ""하수계 추정"": 0.202}",정렬,"고양 하수처리시설 주변(하수계,0.98)",동남동쪽에서 유입 추정
예비 실험·미보정,2026-09-20 15:00:00,U01,운양동 북측,forecast_csv,,예비 추정,0.197,낮음,135.0,남동,315.0,북서,3.0,하수계 추정,"{""기타/미확인"": 0.227, ""축산계 추정"": 0.206, ""하수계 추정"": 0.566}",여러 방향 가능,"김포 하수처리계통(걸포동)(하수계,0.81); 고양 하수처리시설 주변(하수계,0.76)",상위 후보 정렬도 차이 작음
예비 실험·미보정,2026-09-20 15:00:00,U02,운양동 중앙,forecast_csv,,예비 추정,0.143,낮음,135.0,남동,315.0,북서,3.0,하수계 추정,"{""기타/미확인"": 0.295, ""축산계 추정"": 0.231, ""하수계 추정"": 0.474}",여러 방향 가능,"김포 하수처리계통(걸포동)(하수계,0.82); 고양 하수처리시설 주변(하수계,0.71)",상위 후보 정렬도 차이 작음
예비 실험·미보정,2026-09-20 15:00:00,U03,운양동 동측,forecast_csv,,예비 추정,0.251,낮음,135.0,남동,315.0,북서,3.0,하수계 추정,"{""기타/미확인"": 0.257, ""축산계 추정"": 0.253, ""하수계 추정"": 0.49}",여러 방향 가능,"고양 하수처리시설 주변(하수계,0.77); 김포 하수처리계통(걸포동)(하수계,0.69)",상위 후보 정렬도 차이 작음
예비 실험·미보정,2026-09-20 18:00:00,U01,운양동 북측,forecast_csv,,예비 추정,0.014,낮음,157.5,남남동,337.5,북북서,1.6,하수계 추정,"{""기타/미확인"": 0.105, ""축산계 추정"": 0.108, ""하수계 추정"": 0.787}",정렬,"김포 하수처리계통(걸포동)(하수계,0.94); 고양 하수처리시설 주변(하수계,0.51)",남남동쪽에서 유입 추정
예비 실험·미보정,2026-09-20 18:00:00,U02,운양동 중앙,forecast_csv,,예비 추정,0.009,낮음,157.5,남남동,337.5,북북서,1.6,하수계 추정,"{""기타/미확인"": 0.155, ""축산계 추정"": 0.143, ""하수계 추정"": 0.702}",정렬,"김포 하수처리계통(걸포동)(하수계,0.93)",남남동쪽에서 유입 추정
예비 실험·미보정,2026-09-20 18:00:00,U03,운양동 동측,forecast_csv,,예비 추정,0.021,낮음,157.5,남남동,337.5,북북서,1.6,하수계 추정,"{""기타/미확인"": 0.094, ""축산계 추정"": 0.095, ""하수계 추정"": 0.811}",정렬,"김포 하수처리계통(걸포동)(하수계,0.94); 고양 하수처리시설 주변(하수계,0.52)",남남동쪽에서 유입 추정
예비 실험·미보정,2026-09-20 21:00:00,U01,운양동 북측,forecast_csv,,예비 추정,0.073,낮음,180.0,남,0.0,북,0.8,하수계 추정,"{""기타/미확인"": 0.166, ""축산계 추정"": 0.204, ""하수계 추정"": 0.631}",정렬,"김포 하수처리계통(걸포동)(하수계,0.69)",남쪽에서 유입 추정
예비 실험·미보정,2026-09-20 21:00:00,U02,운양동 중앙,forecast_csv,,예비 추정,0.051,낮음,180.0,남,0.0,북,0.8,하수계 추정,"{""기타/미확인"": 0.226, ""축산계 추정"": 0.251, ""하수계 추정"": 0.523}",정렬,"김포 하수처리계통(걸포동)(하수계,0.68)",남쪽에서 유입 추정
예비 실험·미보정,2026-09-20 21:00:00,U03,운양동 동측,forecast_csv,,예비 추정,0.117,낮음,180.0,남,0.0,북,0.8,하수계 추정,"{""기타/미확인"": 0.115, ""축산계 추정"": 0.126, ""하수계 추정"": 0.76}",정렬,"김포 하수처리계통(걸포동)(하수계,0.81)",남쪽에서 유입 추정
