report_id,observer_code,zone_id,observed_at,submitted_at,report_mode,odor,intensity,odor_type,environment,confidence,saw_forecast,memo
S00032,R20,Z2,2026-09-02 12:36:00,2026-09-02 12:43:00,scheduled,1,1,모름,outdoor,mid,0,
S00033,R03,Z3,2026-09-02 18:26:00,2026-09-02 18:30:00,scheduled,0,0,없음,outdoor,high,0,
S00034,R04,Z1,2026-09-02 18:24:00,2026-09-02 18:36:00,scheduled,0,0,없음,outdoor,mid,0,
S00035,R05,Z2,2026-09-02 18:21:00,2026-09-02 18:27:00,scheduled,1,3,모름,outdoor,mid,0,
S00036,R06,Z3,2026-09-02 18:23:00,2026-09-02 18:30:00,scheduled,0,0,없음,indoor,high,0,
S00037,R07,Z1,2026-09-02 18:25:00,2026-09-02 18:30:00,scheduled,0,0,없음,outdoor,high,1,
S00038,R08,Z2,2026-09-02 18:35:00,2026-09-02 18:41:00,scheduled,1,2,축산분뇨,outdoor,high,0,
S00039,R10,Z1,2026-09-02 18:33:00,2026-09-02 18:47:00,scheduled,0,0,없음,outdoor,mid,1,
S00040,R11,Z2,2026-09-02 18:30:00,2026-09-02 18:33:00,scheduled,0,0,없음,outdoor,mid,0,
S00041,R13,Z1,2026-09-02 18:31:00,2026-09-02 18:44:00,scheduled,1,2,하수,outdoor,high,0,
S00042,R14,Z2,2026-09-02 18:22:00,2026-09-02 18:32:00,scheduled,1,1,축산분뇨,outdoor,mid,0,
S00043,R15,Z3,2026-09-02 18:24:00,2026-09-02 18:28:00,scheduled,0,0,없음,outdoor,high,0,
S00044,R16,Z1,2026-09-02 18:29:00,2026-09-02 18:41:00,scheduled,0,0,없음,outdoor,high,0,
S00045,R17,Z2,2026-09-02 18:34:00,2026-09-02 18:42:00,scheduled,1,3,축산분뇨,outdoor,high,0,
S00046,R18,Z3,2026-09-02 18:18:00,2026-09-02 18:25:00,scheduled,0,0,없음,outdoor,low,0,
S00047,R19,Z1,2026-09-02 18:21:00,2026-09-02 18:31:00,scheduled,0,0,없음,outdoor,high,1,
S00048,R20,Z2,2026-09-02 18:40:00,2026-09-02 18:53:00,scheduled,1,4,축산분뇨,outdoor,mid,0,
S00049,R02,Z2,2026-09-02 21:42:00,2026-09-02 21:52:00,scheduled,1,3,축산분뇨,outdoor,mid,1,
S00050,R03,Z3,2026-09-02 21:32:00,2026-09-02 21:39:00,scheduled,0,0,없음,outdoor,high,0,
S00051,R04,Z1,2026-09-02 21:39:00,2026-09-02 21:53:00,scheduled,1,3,축산분뇨,outdoor,low,1,
S00052,R05,Z2,2026-09-02 21:30:00,2026-09-02 21:38:00,scheduled,0,0,없음,outdoor,high,0,
S00053,R06,Z3,2026-09-02 21:24:00,2026-09-02 21:36:00,scheduled,1,4,하수,outdoor,mid,0,
S00054,R07,Z1,2026-09-02 21:26:00,2026-09-02 21:39:00,scheduled,0,0,없음,indoor,mid,1,
S00055,R08,Z2,2026-09-02 21:24:00,2026-09-02 21:36:00,scheduled,1,4,축산분뇨,outdoor,high,0,
S00056,R09,Z3,2026-09-02 21:32:00,2026-09-02 21:34:00,scheduled,1,4,축산분뇨,outdoor,high,1,
S00057,R10,Z1,2026-09-02 21:35:00,2026-09-02 21:38:00,scheduled,1,4,축산분뇨,outdoor,mid,1,
S00058,R11,Z2,2026-09-02 21:19:00,2026-09-02 21:25:00,scheduled,1,3,축산분뇨,outdoor,high,1,
S00059,R12,Z3,2026-09-02 21:19:00,2026-09-02 21:20:00,scheduled,1,2,모름,outdoor,high,0,
S00060,R13,Z1,2026-09-02 21:22:00,2026-09-02 21:28:00,scheduled,0,0,없음,outdoor,high,0,
S00061,R15,Z3,2026-09-02 21:36:00,2026-09-02 21:50:00,scheduled,1,4,축산분뇨,outdoor,mid,1,
S00062,R16,Z1,2026-09-02 21:39:00,2026-09-02 21:41:00,scheduled,1,4,축산분뇨,outdoor,mid,0,
S00063,R19,Z1,2026-09-02 21:32:00,2026-09-02 21:38:00,scheduled,1,4,축산분뇨,outdoor,high,0,
S00064,R20,Z2,2026-09-02 21:30:00,2026-09-02 21:32:00,scheduled,0,0,없음,outdoor,high,0,
S00065,R01,Z1,2026-09-03 07:38:00,2026-09-03 07:50:00,scheduled,0,0,없음,outdoor,mid,1,
S00066,R02,Z2,2026-09-03 07:41:00,2026-09-03 07:42:00,scheduled,0,0,없음,outdoor,mid,1,
S00067,R04,Z1,2026-09-03 07:22:00,2026-09-03 07:28:00,scheduled,0,0,없음,outdoor,mid,0,
S00068,R05,Z2,2026-09-03 07:31:00,2026-09-03 07:33:00,scheduled,1,2,축산분뇨,outdoor,mid,0,
S00069,R06,Z3,2026-09-03 07:25:00,2026-09-03 07:32:00,scheduled,1,3,기타,outdoor,mid,1,
S00070,R07,Z1,2026-09-03 07:30:00,2026-09-03 07:43:00,scheduled,0,0,없음,outdoor,mid,0,
S00071,R08,Z2,2026-09-03 07:33:00,2026-09-03 07:40:00,scheduled,0,0,없음,outdoor,mid,0,
S00072,R10,Z1,2026-09-03 07:42:00,2026-09-03 07:47:00,scheduled,0,0,없음,outdoor,high,0,
S00073,R12,Z3,2026-09-03 07:20:00,2026-09-03 07:32:00,scheduled,0,0,없음,outdoor,low,0,
S00074,R14,Z2,2026-09-03 07:26:00,2026-09-03 07:35:00,scheduled,0,0,없음,outdoor,mid,1,
S00075,R15,Z3,2026-09-03 07:39:00,2026-09-03 07:51:00,scheduled,0,0,없음,outdoor,mid,1,
S00076,R16,Z1,2026-09-03 07:18:00,2026-09-03 07:28:00,scheduled,0,0,없음,outdoor,mid,1,
S00077,R17,Z2,2026-09-03 07:33:00,2026-09-03 07:42:00,scheduled,1,2,축산분뇨,outdoor,mid,1,
S00078,R18,Z3,2026-09-03 07:20:00,2026-09-03 07:29:00,scheduled,0,0,없음,outdoor,mid,1,
S00079,R19,Z1,2026-09-03 07:41:00,2026-09-03 07:43:00,scheduled,0,0,없음,outdoor,high,1,
S00080,R20,Z2,2026-09-03 07:41:00,2026-09-03 07:41:00,scheduled,1,2,기타,outdoor,mid,0,
S00081,R01,Z1,2026-09-03 12:25:00,2026-09-03 12:36:00,scheduled,1,1,모름,outdoor,mid,1,
S00082,R02,Z2,2026-09-03 12:24:00,2026-09-03 12:38:00,scheduled,1,2,축산분뇨,outdoor,mid,0,
S00083,R03,Z3,2026-09-03 12:25:00,2026-09-03 12:31:00,scheduled,0,0,없음,outdoor,mid,0,
S00084,R04,Z1,2026-09-03 12:38:00,2026-09-03 12:42:00,scheduled,0,0,없음,outdoor,mid,0,
S00085,R05,Z2,2026-09-03 12:36:00,2026-09-03 12:50:00,scheduled,0,0,없음,outdoor,mid,0,
S00086,R07,Z1,2026-09-03 12:34:00,2026-09-03 12:45:00,scheduled,1,2,축산분뇨,outdoor,mid,0,
S00087,R08,Z2,2026-09-03 12:27:00,2026-09-03 12:29:00,scheduled,0,0,없음,outdoor,low,0,
S00088,R09,Z3,2026-09-03 12:30:00,2026-09-03 12:42:00,scheduled,0,0,없음,outdoor,high,1,
S00089,R10,Z1,2026-09-03 12:21:00,2026-09-03 12:31:00,scheduled,0,0,없음,outdoor,mid,0,
S00090,R11,Z2,2026-09-03 12:26:00,2026-09-03 12:31:00,scheduled,0,0,없음,indoor,mid,0,
S00091,R12,Z3,2026-09-03 12:23:00,2026-09-03 12:24:00,scheduled,0,0,없음,outdoor,mid,1,
S00092,R15,Z3,2026-09-03 12:32:00,2026-09-03 12:39:00,scheduled,0,0,없음,outdoor,mid,0,
S00093,R16,Z1,2026-09-03 12:22:00,2026-09-03 12:23:00,scheduled,0,0,없음,outdoor,mid,0,
S00094,R18,Z3,2026-09-03 12:27:00,2026-09-03 12:34:00,scheduled,0,0,없음,outdoor,mid,1,
S00095,R19,Z1,2026-09-03 12:24:00,2026-09-03 12:27:00,scheduled,0,0,없음,outdoor,high,1,
S00096,R04,Z1,2026-09-03 18:25:00,2026-09-03 18:39:00,scheduled,0,0,없음,outdoor,mid,0,
S00097,R05,Z2,2026-09-03 18:36:00,2026-09-03 18:37:00,scheduled,1,1,모름,outdoor,mid,0,
S00098,R06,Z3,2026-09-03 18:19:00,2026-09-03 18:32:00,scheduled,0,0,없음,outdoor,high,1,
S00099,R07,Z1,2026-09-03 18:34:00,2026-09-03 18:45:00,scheduled,1,1,축산분뇨,outdoor,low,0,
S00100,R08,Z2,2026-09-03 18:42:00,2026-09-03 18:45:00,scheduled,0,0,없음,outdoor,mid,0,
S00101,R09,Z3,2026-09-03 18:39:00,2026-09-03 18:47:00,scheduled,0,0,없음,outdoor,mid,0,
S00102,R11,Z2,2026-09-03 18:27:00,2026-09-03 18:28:00,scheduled,1,2,축산분뇨,outdoor,high,0,
S00103,R12,Z3,2026-09-03 18:34:00,2026-09-03 18:35:00,scheduled,0,0,없음,outdoor,mid,0,
S00104,R15,Z3,2026-09-03 18:19:00,2026-09-03 18:29:00,scheduled,0,0,없음,outdoor,mid,1,
S00105,R16,Z1,2026-09-03 18:28:00,2026-09-03 18:38:00,scheduled,0,0,없음,outdoor,mid,0,
S00106,R17,Z2,2026-09-03 18:28:00,2026-09-03 18:42:00,scheduled,0,0,없음,outdoor,mid,0,
S00107,R18,Z3,2026-09-03 18:30:00,2026-09-03 18:44:00,scheduled,0,0,없음,outdoor,mid,0,
S00108,R19,Z1,2026-09-03 18:30:00,2026-09-03 18:30:00,scheduled,0,0,없음,outdoor,mid,1,
S00109,R20,Z2,2026-09-03 18:24:00,2026-09-03 18:33:00,scheduled,0,0,없음,outdoor,mid,1,
S00110,R02,Z2,2026-09-03 21:41:00,2026-09-03 21:52:00,scheduled,1,4,축산분뇨,outdoor,low,0,
S00111,R03,Z3,2026-09-03 21:33:00,2026-09-03 21:42:00,scheduled,1,3,기타,outdoor,high,1,
S00112,R04,Z1,2026-09-03 21:28:00,2026-09-03 21:42:00,scheduled,1,3,축산분뇨,outdoor,mid,0,
S00113,R05,Z2,2026-09-03 21:24:00,2026-09-03 21:32:00,scheduled,1,4,축산분뇨,outdoor,mid,0,
S00114,R06,Z3,2026-09-03 21:19:00,2026-09-03 21:20:00,scheduled,1,3,모름,outdoor,high,0,
S00115,R07,Z1,2026-09-03 21:32:00,2026-09-03 21:34:00,scheduled,0,0,없음,outdoor,high,1,
S00116,R08,Z2,2026-09-03 21:41:00,2026-09-03 21:46:00,scheduled,1,3,축산분뇨,outdoor,mid,0,
S00117,R09,Z3,2026-09-03 21:23:00,2026-09-03 21:25:00,scheduled,1,3,축산분뇨,outdoor,low,1,
S00118,R11,Z2,2026-09-03 21:24:00,2026-09-03 21:29:00,scheduled,0,0,없음,outdoor,mid,0,
S00119,R12,Z3,2026-09-03 21:26:00,2026-09-03 21:30:00,scheduled,1,2,하수,outdoor,low,0,
S00120,R14,Z2,2026-09-03 21:35:00,2026-09-03 21:38:00,scheduled,1,3,축산분뇨,outdoor,high,0,
S00121,R15,Z3,2026-09-03 21:19:00,2026-09-03 21:27:00,scheduled,1,4,축산분뇨,outdoor,mid,0,
S00122,R16,Z1,2026-09-03 21:35:00,2026-09-03 21:35:00,scheduled,0,0,없음,outdoor,mid,0,
S00123,R17,Z2,2026-09-03 21:28:00,2026-09-03 21:31:00,scheduled,1,3,하수,outdoor,mid,1,
S00124,R18,Z3,2026-09-03 21:22:00,2026-09-03 21:32:00,scheduled,0,0,없음,outdoor,mid,0,
S00125,R19,Z1,2026-09-03 21:19:00,2026-09-03 21:22:00,scheduled,1,4,축산분뇨,outdoor,mid,0,
S00126,R02,Z2,2026-09-04 07:39:00,2026-09-04 07:40:00,scheduled,1,4,기타,outdoor,high,1,
S00127,R03,Z3,2026-09-04 07:31:00,2026-09-04 07:33:00,scheduled,0,0,없음,outdoor,mid,0,
S00128,R04,Z1,2026-09-04 07:33:00,2026-09-04 07:36:00,scheduled,1,3,하수,outdoor,high,0,
S00129,R05,Z2,2026-09-04 07:29:00,2026-09-04 07:32:00,scheduled,1,3,축산분뇨,outdoor,low,0,
S00130,R06,Z3,2026-09-04 07:18:00,2026-09-04 07:22:00,scheduled,0,0,없음,indoor,high,1,
S00131,R07,Z1,2026-09-04 07:30:00,2026-09-04 07:36:00,scheduled,0,0,없음,outdoor,mid,1,
S00132,R08,Z2,2026-09-04 07:19:00,2026-09-04 07:20:00,scheduled,0,0,없음,outdoor,mid,1,
S00133,R09,Z3,2026-09-04 07:30:00,2026-09-04 07:33:00,scheduled,0,0,없음,indoor,mid,0,
S00134,R10,Z1,2026-09-04 07:20:00,2026-09-04 07:29:00,scheduled,1,2,축산분뇨,outdoor,mid,0,
S00135,R11,Z2,2026-09-04 07:21:00,2026-09-04 07:25:00,scheduled,0,0,없음,outdoor,high,1,
S00136,R12,Z3,2026-09-04 07:42:00,2026-09-04 07:55:00,scheduled,0,0,없음,outdoor,mid,0,
S00137,R13,Z1,2026-09-04 07:35:00,2026-09-04 07:38:00,scheduled,1,2,축산분뇨,outdoor,mid,1,
S00138,R14,Z2,2026-09-04 07:18:00,2026-09-04 07:24:00,scheduled,1,2,축산분뇨,outdoor,high,0,
S00139,R15,Z3,2026-09-04 07:21:00,2026-09-04 07:31:00,scheduled,1,3,축산분뇨,outdoor,low,0,
S00140,R16,Z1,2026-09-04 07:32:00,2026-09-04 07:43:00,scheduled,1,4,축산분뇨,outdoor,mid,0,
S00141,R17,Z2,2026-09-04 07:33:00,2026-09-04 07:41:00,scheduled,1,2,축산분뇨,outdoor,mid,0,
S00142,R18,Z3,2026-09-04 07:40:00,2026-09-04 07:52:00,scheduled,1,4,축산분뇨,outdoor,high,0,
S00143,R01,Z1,2026-09-04 12:41:00,2026-09-04 12:41:00,scheduled,0,0,없음,outdoor,low,0,
S00144,R04,Z1,2026-09-04 12:21:00,2026-09-04 12:29:00,scheduled,0,0,없음,outdoor,mid,1,
S00145,R05,Z2,2026-09-04 12:23:00,2026-09-04 12:23:00,scheduled,0,0,없음,outdoor,mid,0,
S00146,R06,Z3,2026-09-04 12:38:00,2026-09-04 12:51:00,scheduled,0,0,없음,outdoor,mid,1,
S00147,R07,Z1,2026-09-04 12:20:00,2026-09-04 12:29:00,scheduled,0,0,없음,outdoor,high,1,
S00148,R08,Z2,2026-09-04 12:32:00,2026-09-04 12:34:00,scheduled,0,0,없음,outdoor,high,0,
S00149,R09,Z3,2026-09-04 12:41:00,2026-09-04 12:48:00,scheduled,1,2,축산분뇨,outdoor,mid,1,
S00150,R11,Z2,2026-09-04 12:33:00,2026-09-04 12:44:00,scheduled,1,2,모름,outdoor,mid,1,
S00151,R13,Z1,2026-09-04 12:29:00,2026-09-04 12:34:00,scheduled,0,0,없음,outdoor,low,1,
S00152,R14,Z2,2026-09-04 12:24:00,2026-09-04 12:26:00,scheduled,0,0,없음,outdoor,mid,0,
S00153,R15,Z3,2026-09-04 12:25:00,2026-09-04 12:26:00,scheduled,0,0,없음,outdoor,mid,0,
S00154,R16,Z1,2026-09-04 12:20:00,2026-09-04 12:30:00,scheduled,0,0,없음,outdoor,high,1,
S00155,R17,Z2,2026-09-04 12:41:00,2026-09-04 12:52:00,scheduled,0,0,없음,outdoor,mid,0,
S00156,R18,Z3,2026-09-04 12:26:00,2026-09-04 12:34:00,scheduled,0,0,없음,outdoor,high,0,
S00157,R01,Z1,2026-09-04 18:22:00,2026-09-04 18:22:00,scheduled,1,4,축산분뇨,outdoor,mid,0,
S00158,R02,Z2,2026-09-04 18:38:00,2026-09-04 18:48:00,scheduled,1,3,모름,outdoor,high,0,
S00159,R04,Z1,2026-09-04 18:20:00,2026-09-04 18:32:00,scheduled,1,4,기타,outdoor,high,0,
S00160,R05,Z2,2026-09-04 18:30:00,2026-09-04 18:41:00,scheduled,1,1,축산분뇨,outdoor,mid,0,
S00161,R07,Z1,2026-09-04 18:34:00,2026-09-04 18:43:00,scheduled,1,3,축산분뇨,outdoor,mid,0,
S00162,R09,Z3,2026-09-04 18:41:00,2026-09-04 18:45:00,scheduled,0,0,없음,outdoor,high,0,
S00163,R11,Z2,2026-09-04 18:29:00,2026-09-04 18:34:00,scheduled,1,4,축산분뇨,outdoor,mid,0,
S00164,R13,Z1,2026-09-04 18:39:00,2026-09-04 18:43:00,scheduled,1,4,축산분뇨,outdoor,mid,0,
S00165,R14,Z2,2026-09-04 18:40:00,2026-09-04 18:46:00,scheduled,1,1,기타,outdoor,mid,0,
S00166,R15,Z3,2026-09-04 18:28:00,2026-09-04 18:42:00,scheduled,1,2,모름,outdoor,mid,0,
S00167,R16,Z1,2026-09-04 18:20:00,2026-09-04 18:30:00,scheduled,0,0,없음,outdoor,high,0,
S00168,R18,Z3,2026-09-04 18:37:00,2026-09-04 18:43:00,scheduled,0,0,없음,outdoor,mid,0,
S00169,R19,Z1,2026-09-04 18:42:00,2026-09-04 18:53:00,scheduled,1,4,축산분뇨,outdoor,high,1,
S00170,R20,Z2,2026-09-04 18:20:00,2026-09-04 18:30:00,scheduled,1,2,하수,outdoor,mid,0,
S00171,R01,Z1,2026-09-04 21:22:00,2026-09-04 21:29:00,scheduled,1,3,모름,outdoor,mid,1,
S00172,R02,Z2,2026-09-04 21:38:00,2026-09-04 21:48:00,scheduled,1,4,모름,outdoor,mid,0,
S00173,R03,Z3,2026-09-04 21:31:00,2026-09-04 21:41:00,scheduled,0,0,없음,outdoor,mid,0,
S00174,R04,Z1,2026-09-04 21:19:00,2026-09-04 21:26:00,scheduled,1,4,축산분뇨,outdoor,mid,0,
S00175,R05,Z2,2026-09-04 21:31:00,2026-09-04 21:45:00,scheduled,0,0,없음,outdoor,mid,1,
S00176,R06,Z3,2026-09-04 21:27:00,2026-09-04 21:33:00,scheduled,1,3,축산분뇨,outdoor,high,0,
S00177,R07,Z1,2026-09-04 21:30:00,2026-09-04 21:42:00,scheduled,1,5,하수,outdoor,high,0,
S00178,R08,Z2,2026-09-04 21:28:00,2026-09-04 21:31:00,scheduled,1,4,하수,outdoor,high,0,
S00179,R09,Z3,2026-09-04 21:22:00,2026-09-04 21:31:00,scheduled,1,3,축산분뇨,outdoor,high,1,
S00180,R11,Z2,2026-09-04 21:25:00,2026-09-04 21:28:00,scheduled,1,3,축산분뇨,outdoor,mid,0,
S00181,R13,Z1,2026-09-04 21:34:00,2026-09-04 21:47:00,scheduled,1,4,축산분뇨,outdoor,high,0,
S00182,R14,Z2,2026-09-04 21:41:00,2026-09-04 21:48:00,scheduled,1,3,축산분뇨,outdoor,mid,0,
S00183,R15,Z3,2026-09-04 21:32:00,2026-09-04 21:42:00,scheduled,1,3,축산분뇨,outdoor,high,1,
S00184,R16,Z1,2026-09-04 21:35:00,2026-09-04 21:40:00,scheduled,1,2,축산분뇨,outdoor,mid,0,
S00185,R19,Z1,2026-09-04 21:28:00,2026-09-04 21:30:00,scheduled,1,3,축산분뇨,outdoor,high,0,
S00186,R20,Z2,2026-09-04 21:36:00,2026-09-04 21:44:00,scheduled,1,3,축산분뇨,outdoor,low,1,
S00187,R02,Z2,2026-09-05 07:40:00,2026-09-05 07:54:00,scheduled,0,0,없음,outdoor,mid,0,
S00188,R03,Z3,2026-09-05 07:38:00,2026-09-05 07:44:00,scheduled,0,0,없음,outdoor,low,1,
S00189,R04,Z1,2026-09-05 07:40:00,2026-09-05 07:46:00,scheduled,0,0,없음,outdoor,low,1,
S00190,R05,Z2,2026-09-05 07:28:00,2026-09-05 07:38:00,scheduled,0,0,없음,outdoor,high,0,
S00191,R06,Z3,2026-09-05 07:41:00,2026-09-05 07:54:00,scheduled,0,0,없음,outdoor,mid,0,
S00192,R07,Z1,2026-09-05 07:24:00,2026-09-05 07:38:00,scheduled,0,0,없음,indoor,high,1,
S00193,R08,Z2,2026-09-05 07:26:00,2026-09-05 07:40:00,scheduled,0,0,없음,outdoor,high,0,
S00194,R09,Z3,2026-09-05 07:25:00,2026-09-05 07:33:00,scheduled,0,0,없음,outdoor,high,0,
S00195,R10,Z1,2026-09-05 07:26:00,2026-09-05 07:38:00,scheduled,0,0,없음,outdoor,mid,0,
S00196,R11,Z2,2026-09-05 07:40:00,2026-09-05 07:52:00,scheduled,0,0,없음,outdoor,mid,0,
S00197,R13,Z1,2026-09-05 07:22:00,2026-09-05 07:30:00,scheduled,0,0,없음,outdoor,high,0,
S00198,R14,Z2,2026-09-05 07:24:00,2026-09-05 07:29:00,scheduled,0,0,없음,outdoor,mid,0,
S00199,R16,Z1,2026-09-05 07:33:00,2026-09-05 07:37:00,scheduled,1,1,축산분뇨,outdoor,mid,0,
S00200,R17,Z2,2026-09-05 07:35:00,2026-09-05 07:42:00,scheduled,0,0,없음,indoor,mid,0,
S00201,R19,Z1,2026-09-05 07:23:00,2026-09-05 07:34:00,scheduled,0,0,없음,outdoor,high,0,
S00202,R20,Z2,2026-09-05 07:19:00,2026-09-05 07:33:00,scheduled,0,0,없음,outdoor,mid,1,
S00203,R02,Z2,2026-09-05 12:24:00,2026-09-05 12:26:00,scheduled,0,0,없음,outdoor,mid,1,
S00204,R03,Z3,2026-09-05 12:41:00,2026-09-05 12:47:00,scheduled,1,3,축산분뇨,outdoor,high,0,
S00205,R05,Z2,2026-09-05 12:30:00,2026-09-05 12:33:00,scheduled,0,0,없음,outdoor,mid,0,
S00206,R07,Z1,2026-09-05 12:32:00,2026-09-05 12:37:00,scheduled,0,0,없음,outdoor,low,1,
S00207,R08,Z2,2026-09-05 12:37:00,2026-09-05 12:38:00,scheduled,0,0,없음,outdoor,high,0,
S00208,R09,Z3,2026-09-05 12:38:00,2026-09-05 12:41:00,scheduled,0,0,없음,outdoor,mid,1,
S00209,R10,Z1,2026-09-05 12:31:00,2026-09-05 12:37:00,scheduled,0,0,없음,outdoor,mid,0,
S00210,R12,Z3,2026-09-05 12:31:00,2026-09-05 12:42:00,scheduled,0,0,없음,outdoor,mid,1,
S00211,R13,Z1,2026-09-05 12:41:00,2026-09-05 12:43:00,scheduled,0,0,없음,outdoor,high,0,
S00212,R14,Z2,2026-09-05 12:24:00,2026-09-05 12:25:00,scheduled,0,0,없음,outdoor,mid,1,
S00213,R15,Z3,2026-09-05 12:30:00,2026-09-05 12:37:00,scheduled,0,0,없음,indoor,high,0,
S00214,R17,Z2,2026-09-05 12:19:00,2026-09-05 12:33:00,scheduled,0,0,없음,outdoor,high,0,
S00215,R18,Z3,2026-09-05 12:29:00,2026-09-05 12:31:00,scheduled,0,0,없음,outdoor,high,1,
S00216,R19,Z1,2026-09-05 12:28:00,2026-09-05 12:33:00,scheduled,0,0,없음,outdoor,mid,1,
S00217,R20,Z2,2026-09-05 12:29:00,2026-09-05 12:34:00,scheduled,0,0,없음,indoor,mid,0,
S00218,R01,Z1,2026-09-05 18:41:00,2026-09-05 18:43:00,scheduled,0,0,없음,outdoor,high,0,
S00219,R02,Z2,2026-09-05 18:26:00,2026-09-05 18:38:00,scheduled,0,0,없음,outdoor,low,0,
S00220,R03,Z3,2026-09-05 18:22:00,2026-09-05 18:22:00,scheduled,1,1,축산분뇨,outdoor,high,0,
S00221,R04,Z1,2026-09-05 18:28:00,2026-09-05 18:41:00,scheduled,0,0,없음,outdoor,mid,1,
S00222,R05,Z2,2026-09-05 18:29:00,2026-09-05 18:43:00,scheduled,0,0,없음,outdoor,mid,0,
S00223,R06,Z3,2026-09-05 18:33:00,2026-09-05 18:40:00,scheduled,0,0,없음,outdoor,mid,0,
S00224,R07,Z1,2026-09-05 18:35:00,2026-09-05 18:46:00,scheduled,1,2,축산분뇨,outdoor,high,0,
S00225,R08,Z2,2026-09-05 18:37:00,2026-09-05 18:40:00,scheduled,0,0,없음,outdoor,mid,1,
S00226,R10,Z1,2026-09-05 18:21:00,2026-09-05 18:25:00,scheduled,1,3,축산분뇨,outdoor,high,1,
S00227,R13,Z1,2026-09-05 18:36:00,2026-09-05 18:44:00,scheduled,1,3,모름,outdoor,mid,0,
S00228,R14,Z2,2026-09-05 18:35:00,2026-09-05 18:48:00,scheduled,1,3,하수,outdoor,mid,0,
S00229,R15,Z3,2026-09-05 18:36:00,2026-09-05 18:48:00,scheduled,0,0,없음,outdoor,mid,0,
