지점,지점명,일시,풍향(deg),풍속(m/s),기온(°C),습도(%),현지기압(hPa),강수량(mm)
(확인필요),김포(예시),2026-09-06 12:00,38.3,2.4,25.0,53.4,1010.2,3.4
(확인필요),김포(예시),2026-09-06 13:00,47.7,1.0,26.4,61.7,1010.7,-
(확인필요),김포(예시),2026-09-06 14:00,235.0,3.2,26.8,75.7,1010.2,-
(확인필요),김포(예시),2026-09-06 15:00,240.5,0.4,26.4,70.4,1009.6,-
(확인필요),김포(예시),2026-09-06 16:00,45.7,0.9,25.6,66.1,1009.2,-
(확인필요),김포(예시),2026-09-06 17:00,139.4,2.7,24.9,65.6,1009.7,-
(확인필요),김포(예시),2026-09-06 18:00,225.4,0.1,24.2,57.6,1010.7,-
(확인필요),김포(예시),2026-09-06 19:00,191.4,1.8,20.8,65.5,1008.3,-
(확인필요),김포(예시),2026-09-06 20:00,83.8,2.0,22.0,69.2,1011.5,-
(확인필요),김포(예시),2026-09-06 21:00,39.0,2.1,20.7,68.3,1009.0,-
(확인필요),김포(예시),2026-09-06 22:00,227.5,0.6,19.8,75.8,1010.0,-
(확인필요),김포(예시),2026-09-06 23:00,23.0,4.1,19.5,66.0,1006.6,-
(확인필요),김포(예시),2026-09-07 00:00,158.1,1.3,18.8,73.3,1009.2,-
(확인필요),김포(예시),2026-09-07 01:00,115.0,1.9,18.8,67.8,1010.5,-
(확인필요),김포(예시),2026-09-07 02:00,59.5,2.9,20.1,75.9,1008.8,-
(확인필요),김포(예시),2026-09-07 03:00,237.2,0.6,21.3,74.0,1008.7,-
(확인필요),김포(예시),2026-09-07 04:00,68.9,0.4,19.4,88.5,1008.3,-
(확인필요),김포(예시),2026-09-07 05:00,50.6,1.3,24.2,74.0,1008.8,-
(확인필요),김포(예시),2026-09-07 06:00,235.5,2.7,20.6,80.8,1011.1,-
(확인필요),김포(예시),2026-09-07 07:00,252.5,0.4,21.8,57.9,1007.9,-
(확인필요),김포(예시),2026-09-07 08:00,11.3,1.5,24.5,55.8,1009.2,-
(확인필요),김포(예시),2026-09-07 09:00,359.9,1.4,26.8,71.2,1007.6,-
(확인필요),김포(예시),2026-09-07 10:00,199.7,0.6,25.8,80.2,1008.6,-
(확인필요),김포(예시),2026-09-07 11:00,275.3,3.7,25.3,63.9,1008.4,-
(확인필요),김포(예시),2026-09-07 12:00,29.6,1.5,28.2,49.2,1008.4,-
(확인필요),김포(예시),2026-09-07 13:00,253.1,4.1,28.1,64.4,1008.7,-
(확인필요),김포(예시),2026-09-07 14:00,60.3,2.2,26.2,64.6,1008.9,-
(확인필요),김포(예시),2026-09-07 15:00,311.6,6.8,26.6,68.3,1006.9,-
(확인필요),김포(예시),2026-09-07 16:00,282.9,5.8,27.2,44.9,1008.3,-
(확인필요),김포(예시),2026-09-07 17:00,37.6,0.2,26.1,78.2,1007.9,-
(확인필요),김포(예시),2026-09-07 18:00,93.6,0.6,23.0,60.9,1006.7,-
(확인필요),김포(예시),2026-09-07 19:00,231.0,0.9,23.2,66.1,1003.1,-
(확인필요),김포(예시),2026-09-07 20:00,8.9,2.9,22.3,55.1,1008.0,-
(확인필요),김포(예시),2026-09-07 21:00,38.8,2.4,23.0,82.7,1007.5,-
(확인필요),김포(예시),2026-09-07 22:00,221.3,1.0,22.6,66.1,1007.0,-
(확인필요),김포(예시),2026-09-07 23:00,254.4,0.9,19.7,64.1,1004.9,-
(확인필요),김포(예시),2026-09-08 00:00,179.9,3.2,17.6,79.5,1006.5,-
(확인필요),김포(예시),2026-09-08 01:00,37.4,2.1,19.9,74.8,1006.7,-
(확인필요),김포(예시),2026-09-08 02:00,23.8,2.3,19.8,60.2,1008.6,0.5
(확인필요),김포(예시),2026-09-08 03:00,165.3,3.5,20.1,83.0,1004.2,-
(확인필요),김포(예시),2026-09-08 04:00,251.6,0.4,19.6,69.5,1005.7,-
(확인필요),김포(예시),2026-09-08 05:00,287.0,0.9,19.3,79.6,1004.0,0.3
(확인필요),김포(예시),2026-09-08 06:00,27.3,5.1,21.8,74.7,1005.6,-
(확인필요),김포(예시),2026-09-08 07:00,27.2,1.5,23.5,60.6,1008.6,-
(확인필요),김포(예시),2026-09-08 08:00,170.7,0.4,25.4,58.4,1005.6,-
(확인필요),김포(예시),2026-09-08 09:00,219.2,1.5,25.2,50.5,1006.8,-
(확인필요),김포(예시),2026-09-08 10:00,118.8,3.2,25.0,54.6,1009.0,-
(확인필요),김포(예시),2026-09-08 11:00,357.8,0.8,24.2,47.8,1005.5,-
(확인필요),김포(예시),2026-09-08 12:00,25.7,1.4,26.1,55.4,1003.9,-
(확인필요),김포(예시),2026-09-08 13:00,287.0,0.2,24.4,61.3,1005.7,-
(확인필요),김포(예시),2026-09-08 14:00,11.8,0.2,28.3,41.1,1006.1,-
(확인필요),김포(예시),2026-09-08 15:00,330.0,2.6,26.9,71.0,1006.7,-
(확인필요),김포(예시),2026-09-08 16:00,310.3,2.1,25.8,63.7,1005.0,-
(확인필요),김포(예시),2026-09-08 17:00,29.4,1.4,25.5,56.6,1005.4,-
(확인필요),김포(예시),2026-09-08 18:00,214.9,0.5,21.3,56.6,1005.0,-
(확인필요),김포(예시),2026-09-08 19:00,39.4,1.5,21.9,73.7,1004.4,-
(확인필요),김포(예시),2026-09-08 20:00,144.9,1.4,22.2,65.9,1006.3,-
(확인필요),김포(예시),2026-09-08 21:00,19.0,0.6,22.8,67.2,1007.1,-
(확인필요),김포(예시),2026-09-08 22:00,0.7,3.0,19.6,61.6,1004.7,-
(확인필요),김포(예시),2026-09-08 23:00,271.0,2.7,18.8,72.6,1008.2,-
(확인필요),김포(예시),2026-09-09 00:00,351.0,2.0,18.1,70.8,1003.2,-
(확인필요),김포(예시),2026-09-09 01:00,124.2,1.3,19.6,92.1,1005.7,-
(확인필요),김포(예시),2026-09-09 02:00,97.8,2.3,20.8,68.2,1005.7,-
(확인필요),김포(예시),2026-09-09 03:00,141.7,1.1,21.0,66.9,1005.5,-
(확인필요),김포(예시),2026-09-09 04:00,236.5,1.9,18.7,90.4,1004.6,-
(확인필요),김포(예시),2026-09-09 05:00,285.9,0.7,21.7,66.4,1003.7,-
(확인필요),김포(예시),2026-09-09 06:00,308.5,4.1,21.0,60.6,1005.2,-
(확인필요),김포(예시),2026-09-09 07:00,124.4,0.9,20.8,68.4,1001.9,-
(확인필요),김포(예시),2026-09-09 08:00,19.2,1.7,22.7,55.4,1004.6,0.5
(확인필요),김포(예시),2026-09-09 09:00,275.7,0.3,26.1,66.7,1005.0,-
(확인필요),김포(예시),2026-09-09 10:00,61.2,1.4,27.1,61.3,1004.1,1.0
(확인필요),김포(예시),2026-09-09 11:00,326.2,0.7,25.7,52.2,1005.5,-
(확인필요),김포(예시),2026-09-09 12:00,42.5,1.5,26.3,66.2,1003.4,0.6
(확인필요),김포(예시),2026-09-09 13:00,26.3,2.5,27.5,49.3,1006.9,-
(확인필요),김포(예시),2026-09-09 14:00,240.2,1.0,26.5,62.8,1003.4,-
(확인필요),김포(예시),2026-09-09 15:00,68.8,2.7,26.5,52.8,1003.2,-
(확인필요),김포(예시),2026-09-09 16:00,271.3,1.4,25.2,63.5,1002.5,-
(확인필요),김포(예시),2026-09-09 17:00,123.1,1.0,24.7,64.6,1003.8,-
(확인필요),김포(예시),2026-09-09 18:00,2.0,1.2,23.2,60.8,1002.7,-
(확인필요),김포(예시),2026-09-09 19:00,232.4,3.9,23.9,53.7,1005.2,-
(확인필요),김포(예시),2026-09-09 20:00,41.0,3.5,20.3,76.3,1004.8,-
(확인필요),김포(예시),2026-09-09 21:00,57.8,0.6,20.9,75.9,1005.7,-
(확인필요),김포(예시),2026-09-09 22:00,205.0,0.5,19.2,63.4,1004.9,-
(확인필요),김포(예시),2026-09-09 23:00,48.3,3.0,20.7,70.7,1005.1,-
(확인필요),김포(예시),2026-09-10 00:00,259.5,0.6,18.9,68.5,1003.9,-
(확인필요),김포(예시),2026-09-10 01:00,48.7,1.7,14.9,62.4,1003.0,-
(확인필요),김포(예시),2026-09-10 02:00,7.1,0.6,19.4,67.2,1004.3,-
(확인필요),김포(예시),2026-09-10 03:00,197.8,5.2,20.6,77.5,1005.4,-
(확인필요),김포(예시),2026-09-10 04:00,7.6,0.8,20.2,70.7,1002.1,-
(확인필요),김포(예시),2026-09-10 05:00,17.2,5.5,19.5,75.5,1002.9,-
(확인필요),김포(예시),2026-09-10 06:00,125.4,1.6,22.3,83.9,1005.1,-
(확인필요),김포(예시),2026-09-10 07:00,106.1,1.1,23.8,62.6,1003.4,-
(확인필요),김포(예시),2026-09-10 08:00,10.1,0.8,26.4,62.7,1006.2,-
(확인필요),김포(예시),2026-09-10 09:00,191.0,2.5,25.2,67.3,1005.5,-
(확인필요),김포(예시),2026-09-10 10:00,24.1,2.0,26.3,49.7,1004.5,-
(확인필요),김포(예시),2026-09-10 11:00,349.6,2.5,24.6,68.4,1004.4,-
(확인필요),김포(예시),2026-09-10 12:00,7.6,1.5,25.9,58.3,1002.2,-
(확인필요),김포(예시),2026-09-10 13:00,70.5,0.5,28.0,53.9,1005.0,-
(확인필요),김포(예시),2026-09-10 14:00,82.9,1.5,26.8,52.6,1003.1,-
(확인필요),김포(예시),2026-09-10 15:00,42.0,1.5,25.3,66.2,1002.1,-
(확인필요),김포(예시),2026-09-10 16:00,118.7,0.9,26.5,58.8,1006.2,-
(확인필요),김포(예시),2026-09-10 17:00,45.7,1.0,24.2,58.3,1004.6,-
(확인필요),김포(예시),2026-09-10 18:00,257.8,5.0,25.8,75.6,1004.5,2.9
(확인필요),김포(예시),2026-09-10 19:00,20.9,1.0,22.4,57.1,1005.2,-
(확인필요),김포(예시),2026-09-10 20:00,144.8,2.5,22.2,52.9,1005.1,1.7
(확인필요),김포(예시),2026-09-10 21:00,29.5,0.8,20.6,53.4,1003.1,-
(확인필요),김포(예시),2026-09-10 22:00,73.3,1.4,19.7,71.1,1003.8,-
(확인필요),김포(예시),2026-09-10 23:00,42.9,2.3,19.1,80.8,1003.8,-
(확인필요),김포(예시),2026-09-11 00:00,29.3,3.3,20.4,60.0,1005.3,0.2
(확인필요),김포(예시),2026-09-11 01:00,309.4,1.6,19.7,72.9,1003.6,-
(확인필요),김포(예시),2026-09-11 02:00,187.5,0.5,18.4,74.7,1002.7,-
(확인필요),김포(예시),2026-09-11 03:00,152.3,0.8,20.4,57.0,1005.6,-
(확인필요),김포(예시),2026-09-11 04:00,20.5,0.4,21.5,78.8,1007.0,-
(확인필요),김포(예시),2026-09-11 05:00,152.8,1.6,19.7,63.2,1005.4,-
(확인필요),김포(예시),2026-09-11 06:00,30.5,0.4,22.2,71.4,1003.7,-
(확인필요),김포(예시),2026-09-11 07:00,149.4,1.2,22.7,52.7,1001.8,-
(확인필요),김포(예시),2026-09-11 08:00,350.1,1.4,26.3,61.4,1006.2,-
(확인필요),김포(예시),2026-09-11 09:00,350.6,0.4,23.3,52.2,1006.6,-
(확인필요),김포(예시),2026-09-11 10:00,183.4,1.4,25.9,68.4,1004.0,-
(확인필요),김포(예시),2026-09-11 11:00,273.0,0.7,26.7,70.2,1002.0,-
(확인필요),김포(예시),2026-09-11 12:00,29.1,1.6,27.5,42.1,1004.9,-
(확인필요),김포(예시),2026-09-11 13:00,316.4,1.5,26.2,66.3,1005.2,-
(확인필요),김포(예시),2026-09-11 14:00,24.7,2.8,27.7,49.5,1006.8,-
(확인필요),김포(예시),2026-09-11 15:00,24.3,4.7,25.8,67.6,1004.6,-
(확인필요),김포(예시),2026-09-11 16:00,143.9,2.9,27.3,54.4,1003.8,-
(확인필요),김포(예시),2026-09-11 17:00,137.0,0.2,26.1,53.9,1004.8,-
(확인필요),김포(예시),2026-09-11 18:00,55.8,0.7,25.5,54.1,1004.6,-
(확인필요),김포(예시),2026-09-11 19:00,76.1,0.5,22.3,62.4,1005.5,-
(확인필요),김포(예시),2026-09-11 20:00,3.9,2.3,22.5,48.3,1005.7,-
(확인필요),김포(예시),2026-09-11 21:00,31.6,1.6,20.0,71.8,1003.8,-
(확인필요),김포(예시),2026-09-11 22:00,100.9,2.7,19.9,69.8,1005.8,-
(확인필요),김포(예시),2026-09-11 23:00,45.7,2.3,20.0,69.2,1006.0,-
(확인필요),김포(예시),2026-09-12 00:00,338.7,1.4,17.0,84.3,1007.9,-
(확인필요),김포(예시),2026-09-12 01:00,43.0,0.5,18.4,83.5,1006.2,-
(확인필요),김포(예시),2026-09-12 02:00,85.9,1.0,18.7,83.5,1005.6,-
(확인필요),김포(예시),2026-09-12 03:00,21.2,2.4,17.7,73.8,1004.5,-
(확인필요),김포(예시),2026-09-12 04:00,170.5,3.8,19.7,71.3,1004.0,-
(확인필요),김포(예시),2026-09-12 05:00,42.0,1.3,22.7,73.4,1005.7,-
(확인필요),김포(예시),2026-09-12 06:00,98.8,0.9,22.2,58.5,1006.5,-
(확인필요),김포(예시),2026-09-12 07:00,243.1,1.6,22.5,63.3,1008.1,-
(확인필요),김포(예시),2026-09-12 08:00,20.4,1.8,23.8,47.6,1007.4,-
(확인필요),김포(예시),2026-09-12 09:00,35.2,0.9,26.3,44.2,1005.9,-
(확인필요),김포(예시),2026-09-12 10:00,68.1,1.6,25.2,58.4,1005.1,-
(확인필요),김포(예시),2026-09-12 11:00,95.6,3.0,26.7,62.0,1006.1,-
(확인필요),김포(예시),2026-09-12 12:00,22.4,2.3,26.7,48.1,1006.6,-
(확인필요),김포(예시),2026-09-12 13:00,70.6,1.4,26.9,53.1,1006.7,-
(확인필요),김포(예시),2026-09-12 14:00,44.0,1.7,24.6,64.2,1007.8,-
(확인필요),김포(예시),2026-09-12 15:00,20.0,1.9,25.0,57.6,1007.2,-
(확인필요),김포(예시),2026-09-12 16:00,13.6,2.6,26.3,69.3,1005.7,-
(확인필요),김포(예시),2026-09-12 17:00,350.6,1.2,28.8,65.3,1007.4,-
(확인필요),김포(예시),2026-09-12 18:00,148.7,2.5,23.1,69.7,1007.5,-
(확인필요),김포(예시),2026-09-12 19:00,114.9,2.4,22.8,61.9,1007.7,-
(확인필요),김포(예시),2026-09-12 20:00,2.9,2.2,22.2,61.6,1008.3,-
(확인필요),김포(예시),2026-09-12 21:00,17.6,1.7,23.3,76.4,1006.1,-
(확인필요),김포(예시),2026-09-12 22:00,21.2,1.2,20.7,67.7,1007.0,1.3
(확인필요),김포(예시),2026-09-12 23:00,346.1,3.8,19.8,90.6,1009.5,-
(확인필요),김포(예시),2026-09-13 00:00,20.2,0.6,19.9,82.6,1006.0,-
(확인필요),김포(예시),2026-09-13 01:00,93.7,3.6,19.1,68.7,1007.2,-
(확인필요),김포(예시),2026-09-13 02:00,122.1,1.7,18.1,73.1,1008.7,-
(확인필요),김포(예시),2026-09-13 03:00,41.0,0.9,18.7,73.9,1009.0,-
(확인필요),김포(예시),2026-09-13 04:00,37.1,1.4,19.1,77.8,1008.4,2.4
(확인필요),김포(예시),2026-09-13 05:00,358.3,0.1,22.1,55.7,1008.4,-
(확인필요),김포(예시),2026-09-13 06:00,65.9,2.8,21.5,76.0,1006.9,-
(확인필요),김포(예시),2026-09-13 07:00,68.6,0.7,24.3,74.6,1009.4,-
(확인필요),김포(예시),2026-09-13 08:00,355.7,1.6,24.1,71.0,1006.8,-
(확인필요),김포(예시),2026-09-13 09:00,308.7,2.5,24.3,61.1,1006.9,-
(확인필요),김포(예시),2026-09-13 10:00,181.0,1.4,27.2,71.9,1007.4,-
(확인필요),김포(예시),2026-09-13 11:00,338.5,1.3,26.8,57.0,1008.9,-
(확인필요),김포(예시),2026-09-13 12:00,4.9,1.5,25.4,55.6,1009.8,-
(확인필요),김포(예시),2026-09-13 13:00,83.9,0.8,29.9,88.7,1010.2,-
(확인필요),김포(예시),2026-09-13 14:00,247.7,3.2,25.5,62.8,1011.3,-
(확인필요),김포(예시),2026-09-13 15:00,117.7,0.3,26.4,63.2,1009.0,-
(확인필요),김포(예시),2026-09-13 16:00,58.1,2.6,25.1,71.2,1009.1,-
(확인필요),김포(예시),2026-09-13 17:00,280.4,1.0,24.1,62.9,1010.2,-
(확인필요),김포(예시),2026-09-13 18:00,252.3,1.2,23.0,64.0,1011.2,-
(확인필요),김포(예시),2026-09-13 19:00,28.8,0.7,23.1,60.9,1010.1,-
(확인필요),김포(예시),2026-09-13 20:00,336.2,0.3,22.1,66.0,1010.7,-
(확인필요),김포(예시),2026-09-13 21:00,24.8,1.7,22.4,86.8,1010.0,-
(확인필요),김포(예시),2026-09-13 22:00,105.4,3.8,22.4,78.6,1007.9,-
(확인필요),김포(예시),2026-09-13 23:00,309.1,1.2,19.5,79.6,1010.2,-
(확인필요),김포(예시),2026-09-14 00:00,4.2,2.1,17.2,83.1,1011.4,-
(확인필요),김포(예시),2026-09-14 01:00,113.6,0.6,18.8,79.9,1009.7,-
(확인필요),김포(예시),2026-09-14 02:00,55.3,0.5,17.0,81.9,1009.9,-
(확인필요),김포(예시),2026-09-14 03:00,5.5,3.3,20.5,68.8,1007.8,-
(확인필요),김포(예시),2026-09-14 04:00,13.0,3.4,19.0,67.3,1009.7,-
(확인필요),김포(예시),2026-09-14 05:00,213.7,1.0,20.5,60.1,1011.3,-
(확인필요),김포(예시),2026-09-14 06:00,228.5,2.5,20.3,57.1,1010.8,-
(확인필요),김포(예시),2026-09-14 07:00,340.1,2.1,21.7,61.6,1010.0,-
(확인필요),김포(예시),2026-09-14 08:00,32.5,1.5,23.8,53.9,1010.8,-
(확인필요),김포(예시),2026-09-14 09:00,351.4,5.1,25.4,63.0,1013.8,-
(확인필요),김포(예시),2026-09-14 10:00,191.3,2.1,25.7,63.5,1009.7,-
(확인필요),김포(예시),2026-09-14 11:00,178.0,2.1,26.9,66.2,1011.3,-
(확인필요),김포(예시),2026-09-14 12:00,25.3,1.1,27.2,48.4,1012.4,-
